iter	Passed	Remaining
414	1735	2446
415	1739	2441
416	1741	2434
417	1744	2428
418	1746	2421
419	1748	2414
420	1753	2410
421	1755	2404
422	1757	2397
423	1759	2390
424	1761	2383
425	1763	2376
426	1768	2372
427	1770	2365
428	1772	2359
429	1774	2352
430	1777	2346
431	1779	2339
432	1782	2334
433	1784	2327
434	1787	2321
435	1789	2314
436	1791	2307
437	1794	2301
438	1797	2296
439	1799	2289
440	1801	2283
441	1803	2276
442	1805	2270
443	1810	2266
444	1812	2260
445	1814	2254
446	1817	2248
447	1819	2241
448	1821	2235
449	1826	2231
450	1828	2225
451	1830	2219
452	1832	2213
453	1834	2206
454	1838	2202
455	1841	2196
456	1843	2190
457	1845	2184
458	1848	2178
459	1850	2172
460	1854	2168
461	1856	2162
462	1859	2156
463	1861	2150
464	1863	2144
465	1866	2138
466	1869	2133
467	1871	2127
468	1873	2120
469	1875	2114
470	1877	2108
471	1881	2104
472	1883	2098
473	1885	2092
474	1888	2086
475	1890	2080
476	1892	2074
477	1896	2070
478	1899	2065
479	1901	2059
480	1903	2053
481	1905	2047
482	1908	2042
483	1911	2037
484	1913	2032
485	1915	2026
486	1918	2020
487	1920	2014
488	1924	2011
489	1926	2005
490	1929	1999
491	1931	1994
492	1933	1988
493	1935	1982
494	1940	1980
495	1942	1974
496	1945	1968
497	1947	1962
498	1949	1957
499	1953	1953
500	1956	1948
501	1958	1942
502	1960	1937
503	1962	1931
504	1964	1926
505	1969	1922
506	1971	1917
507	1973	1911
508	1976	1906
509	1978	1900
510	1982	1896
511	1984	1891
512	1987	1886
513	1990	1881
514	1992	1876
515	1994	1871
516	1997	1866
517	2000	1861
518	2002	1855
519	2004	1850
520	2006	1844
521	2008	1839
522	2011	1834
523	2013	1829
524	2016	1824
525	2018	1818
526	2020	1813
527	2024	1809
528	2027	1804
529	2029	1799
530	2031	1794
531	2033	1788
532	2035	1783
533	2039	1779
534	2041	1774
535	2043	1769
536	2045	1763
537	2047	1758
538	2049	1753
539	2052	1748
540	2054	1743
541	2057	1738
542	2059	1732
543	2061	1727
544	2062	1722
545	2065	1717
546	2067	1712
547	2070	1707
548	2072	1702
549	2074	1697
550	2077	1692
551	2082	1689
552	2084	1684
553	2086	1679
554	2088	1674
555	2090	1669
556	2093	1664
557	2095	1659
558	2097	1654
559	2099	1649
560	2101	1644
561	2104	1639
562	2108	1636
563	2111	1631
564	2113	1627
565	2116	1622
566	2119	1618
567	2126	1617
568	2129	1612
569	2132	1608
570	2135	1604
571	2138	1600
572	2142	1596
573	2145	1592
574	2150	1589
575	2152	1584
576	2155	1580
577	2157	1575
578	2160	1570
579	2165	1568
580	2167	1563
581	2170	1558
582	2172	1554
583	2175	1549
584	2179	1546
585	2182	1541
586	2184	1536
587	2186	1532
588	2189	1527
589	2193	1524
590	2196	1519
591	2198	1515
592	2201	1510
593	2203	1506
594	2206	1501
595	2208	1497
596	2211	1492
597	2213	1488
598	2215	1483
599	2218	1478
600	2223	1476
601	2226	1471
602	2228	1467
603	2231	1462
604	2236	1460
605	2239	1455
606	2241	1451
607	2244	1446
608	2246	1442
609	2248	1437
610	2251	1433
611	2254	1429
612	2256	1424
613	2258	1420
614	2261	1415
615	2265	1412
616	2267	1407
617	2269	1403
618	2272	1398
619	2274	1394
620	2276	1389
621	2280	1386
622	2283	1381
623	2285	1377
624	2287	1372
625	2289	1368
626	2294	1364
627	2296	1360
628	2298	1355
629	2301	1351
630	2303	1347
631	2305	1342
632	2310	1339
633	2312	1334
634	2314	1330
635	2316	1325
636	2318	1320
637	2320	1316
638	2324	1312
639	2326	1308
640	2328	1304
641	2330	1299
642	2333	1295
643	2336	1291
644	2339	1287
645	2341	1283
646	2343	1278
647	2346	1274
648	2348	1270
649	2352	1266
650	2354	1262
651	2357	1258
652	2359	1253
653	2361	1249
654	2365	1246
655	2367	1241
656	2370	1237
657	2372	1232
658	2374	1228
659	2376	1224
660	2380	1221
661	2383	1216
662	2385	1212
663	2387	1208
664	2390	1204
665	2394	1200
666	2397	1196
667	2399	1192
668	2401	1188
669	2404	1184
670	2406	1179
671	2408	1175
672	2411	1171
673	2413	1167
674	2415	1163
675	2417	1158
676	2422	1155
677	2424	1151
678	2426	1147
679	2429	1143
680	2431	1138
681	2433	1134
682	2437	1131
683	2439	1127
684	2441	1122
685	2444	1118
686	2446	1114
687	2450	1111
688	2452	1107
689	2454	1102
690	2457	1098
691	2459	1094
692	2461	1090
693	2466	1087
694	2468	1083
695	2471	1079
696	2473	1075
697	2475	1071
698	2479	1067
699	2481	1063
700	2483	1059
701	2485	1055
702	2488	1051
703	2490	1047
704	2494	1043
705	2496	1039
706	2499	1035
707	2501	1031
708	2503	1027
709	2505	1023
710	2508	1019
711	2510	1015
712	2512	1011
713	2514	1007
714	2516	1003
715	2518	998
716	2522	995
717	2524	991
718	2526	987
719	2528	983
720	2530	979
721	2532	975
722	2536	971
723	2538	967
724	2540	963
725	2542	959
726	2544	955
727	2546	951
728	2550	948
729	2552	944
730	2554	940
731	2556	936
732	2559	932
733	2561	928
734	2565	924
735	2567	920
736	2569	917
737	2572	913
738	2575	909
739	2580	906
740	2582	902
741	2584	898
742	2586	894
743	2589	891
744	2595	888
745	2597	884
746	2599	880
747	2602	876
748	2604	872
749	2608	869
750	2610	865
751	2613	861
752	2615	858
753	2618	854
754	2620	850
755	2624	847
756	2626	843
757	2629	839
758	2631	835
759	2634	831
760	2639	829
761	2642	825
762	2645	821
763	2647	817
764	2649	814
765	2652	810
766	2654	806
767	2656	802
768	2659	798
769	2661	794
770	2665	791
771	2669	788
772	2671	784
773	2673	780
774	2675	776
775	2681	773
776	2683	770
777	2685	766
778	2688	762
779	2690	758
780	2694	755
781	2697	751
782	2699	748
783	2702	744
784	2704	740
785	2706	736
786	2708	733
787	2710	729
788	2712	725
789	2715	721
790	2717	717
791	2718	714
792	2723	710
793	2725	707
794	2728	703
795	2730	699
796	2733	696
797	2737	693
798	2740	689
799	2742	685
800	2744	681
801	2746	678
802	2749	674
803	2753	671
804	2755	667
805	2758	663
806	2760	660
807	2762	656
808	2766	653
809	2768	649
810	2770	645
811	2772	641
812	2774	638
813	2776	634
814	2780	631
815	2782	627
816	2784	623
817	2786	619
818	2788	616
819	2790	612
820	2792	608
821	2795	605
822	2797	601
823	2799	597
824	2801	594
825	2803	590
826	2804	586
827	2810	583
828	2812	580
829	2814	576
830	2816	572
831	2818	569
832	2826	566
833	2829	563
834	2832	559
835	2834	556
836	2839	553
837	2841	549
838	2844	545
839	2846	542
840	2848	538
841	2853	535
842	2855	531
843	2857	528
844	2859	524
845	2862	521
846	2864	517
847	2868	514
848	2871	510
849	2873	507
850	2876	503
851	2878	499
852	2882	496
853	2885	493
854	2888	489
855	2891	486
856	2893	482
857	2897	479
858	2899	475
859	2902	472
860	2906	469
861	2911	466
862	2914	462
863	2916	459
864	2918	455
865	2921	452
866	2925	448
867	2928	445
868	2930	441
869	2932	438
870	2935	434
871	2937	431
872	2940	427
873	2942	424
874	2944	420
875	2946	417
876	2948	413
877	2950	409
878	2953	406
879	2955	403
880	2957	399
881	2959	395
882	2962	392
883	2964	389
884	2969	385
885	2971	382
886	2974	378
887	2976	375
888	2978	371
889	2982	368
890	2985	365
891	2987	361
892	2990	358
893	2993	354
894	2998	351
895	3001	348
896	3005	345
897	3008	341
898	3013	338
899	3016	335
900	3018	331
901	3020	328
902	3023	324
903	3027	321
904	3030	318
905	3032	314
906	3034	311
907	3036	307
908	3038	304
909	3041	300
910	3043	297
911	3045	293
912	3047	290
913	3049	286
914	3051	283
915	3054	280
916	3056	276
917	3058	273
918	3060	269
919	3062	266
920	3066	263
921	3069	259
922	3072	256
923	3074	252
924	3076	249
925	3082	246
926	3084	242
927	3087	239
928	3091	236
929	3098	233
930	3102	229
931	3107	226
932	3112	223
933	3115	220
934	3118	216
935	3122	213
936	3127	210
937	3131	206
938	3134	203
939	3137	200
940	3144	197
941	3148	193
942	3152	190
943	3157	187
944	3160	183
945	3163	180
946	3166	177
947	3170	173
948	3173	170
949	3175	167
950	3178	163
951	3181	160
952	3187	157
953	3190	153
954	3193	150
955	3195	147
956	3201	143
957	3205	140
958	3207	137
959	3210	133
960	3216	130
961	3220	127
962	3224	123
963	3234	120
964	3238	117
965	3248	114
966	3252	111
967	3256	107
968	3262	104
969	3266	101
970	3269	97
971	3272	94
972	3279	90
973	3282	87
974	3285	84
975	3291	80
976	3294	77
977	3297	74
978	3299	70
979	3302	67
980	3307	64
981	3310	60
982	3312	57
983	3315	53
984	3317	50
985	3320	47
986	3324	43
987	3327	40
988	3333	37
989	3336	33
990	3339	30
991	3341	26
992	3344	23
993	3349	20
994	3353	16
995	3356	13
996	3363	10
997	3366	6
998	3368	3
999	3371	0
